# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Hearsay Tangy Indulgent Spearmint Velvet,0.88,0.82,0.03,0.15
Hearsay Tangy Dark Almond Lollipops,0.3,0.71,0.88,0.83
Nastly Dark Peanut-Butter Velvet,0.43,0.34,0.63,0.28
Good Ivan's Bitter Wintergreen Bar,0.07,0.67,0.01,0.35
Nastly Cheese Spearmint Candy Sticks,0.24,0.43,0.05,0.86
Hearsay Tart Honey Chocolate Coated Velvet,0.95,0.72,0.33,0.29
Nastly Semisweet Walnut Jawbreakers,0.59,0.41,0.81,0.74
Good Ivan's Tangy Sinful Caramel Candy Sticks,0.86,0.94,0.1,0.77
Hearsay Cheese Wintergreen Mints,0.17,0.42,0.15,0.67
Good Ivan's Salted Cashew Lollipops,0.18,0.54,0.73,0.73
Good Ivan's Tangy Semisweet Walnut Wafers,0.36,0.97,0.71,0.61
Hearsay Cool Indulgent Peanut-Butter Mints,0.9,0.13,0.34,0.49
Hearsay Bittersweet Chocolate Coated Mints,0.3,0.62,0.53,0.4
Nastly Sour Salted Nugat-Filled Jawbreakers,0.02,0.99,0.66,0.9
Hearsay Sour Bittersweet Spearmint Bar,0.48,0.83,0.16,0.57
Nastly Dark Caramel Chews,0.68,0.65,0.28,0.03
Billy Bonker's Cool Honey Almond Nonpariels,0.85,0.13,0.79,0.37
Billy Bonker's Refreshingly Indulgent Nugat-Filled Nonpariels,0.77,0.05,0.57,0.64
Hearsay Honey Chocolate Coated Mints,0.93,0.62,0.56,0.64
Nastly Tart Dark Spearmint Mints,0.32,0.77,0.04,0.31
Nastly Refreshingly Dark Nugat-Filled Fudge,0.33,0.02,0.65,0.03
Good Ivan's Tangy Honey Chocolate Candy Sticks,0.85,0.8,0.02,0.91
Billy Bonker's Tangy Indulgent Chocolate Coated Wafers,0.79,0.88,0.36,0.35
Billy Bonker's Indulgent Peanut Chews,0.95,0.37,0.82,0.07
Nastly Luxurious Semisweet Almond Jawbreakers,0.34,0.12,0.92,0.89
Good Ivan's Tart Dark Nut Wafers,0.37,0.87,0.87,0.6
Billy Bonker's Cheese Chocolate Jawbreakers,0.07,0.55,0.16,0.79
Hearsay Sour Semisweet Peanut-Butter Mints,0.3,0.87,0.34,0.33
Hearsay Luxurious Sinful Nugat-Filled Mints,0.78,0.12,0.61,0.31
Billy Bonker's Sinful Chocolate Velvet,0.92,0.44,0.29,0.26
Billy Bonker's Refreshingly Semisweet Nut Jawbreakers,0.52,0.17,0.81,0.88
Billy Bonker's Sinful Wintergreen Candy Sticks,0.95,0.6,0.05,0.8
Billy Bonker's Salted Chocolate Coated Bar,0.1,0.31,0.59,0.45
Good Ivan's Tart Dark Spearmint Nonpariels,0.32,0.91,0.06,0.57
Nastly Sinful Peanut-Butter Wafers,0.98,0.43,0.53,0.54
Good Ivan's Sour Bitter Spearmint Nonpariels,0.23,0.85,0.12,0.69
Good Ivan's Tangy Bitter Peanut-Butter Wafers,0.05,0.89,0.34,0.35
Good Ivan's Honey Chocolate Coated Chews,0.89,0.31,0.37,0.15
Hearsay Sinful Peanut-Butter Mints,0.84,0.35,0.3,0.3
Nastly Cool Bittersweet Peanut Velvet,0.69,0.24,0.97,0.2
Good Ivan's Dark Peanut-Butter Jawbreakers,0.6,0.52,0.39,0.93
Hearsay Cool Bitter Peanut Bar,0,0.19,0.92,0.41
Good Ivan's Semisweet Walnut Mints,0.61,0.37,0.72,0.33
Good Ivan's Dark Almond Fudge,0.52,0.35,0.87,0.15
Good Ivan's Cool Dark Peanut-Butter Chews,0.65,0.01,0.66,0.15
Billy Bonker's Tart Cheese Peanut Lollipops,0.19,0.85,0.93,0.75
Nastly Refreshingly Cheese Peanut-Butter Jawbreakers,0.15,0.01,0.43,0.96
Hearsay Bittersweet Chocolate Coated Bar,0.7,0.37,0.55,0.59
Good Ivan's Salted Caramel Velvet,0.23,0.59,0.03,0.09
Billy Bonker's Refreshingly Bittersweet Chocolate Nonpariels,0.45,0.15,0.21,0.4
Good Ivan's Bitter Chocolate Bar,0.01,0.57,0.26,0.3
Good Ivan's Cool Honey Peanut-Butter Nonpariels,0.75,0.24,0.48,0.35
Good Ivan's Luxurious Bittersweet Chocolate Jawbreakers,0.4,0.23,0.09,0.83
Hearsay Salted Walnut Lollipops,0.04,0.39,0.98,0.97
Nastly Dark Almond Nonpariels,0.41,0.58,0.96,0.62
Hearsay Tangy Dark Spearmint Wafers,0.7,0.89,0.28,0.64
Nastly Sour Salted Chocolate Coated Velvet,0.18,0.89,0.57,0.26
Billy Bonker's Tangy Indulgent Caramel Lollipops,0.87,0.92,0.15,0.86
Nastly Tart Semisweet Almond Mints,0.69,0.72,0.88,0.52
Nastly Cool Cheese Peanut Candy Sticks,0.05,0.29,0.78,0.83
Billy Bonker's Tangy Semisweet Walnut Velvet,0.35,0.79,0.89,0.03
Hearsay Sour Cheese Nugat-Filled Fudge,0.27,0.96,0.63,0.15
Good Ivan's Tart Dark Chocolate Coated Wafers,0.62,0.98,0.62,0.46
Billy Bonker's Tart Honey Almond Wafers,0.72,0.91,0.78,0.5
Nastly Cool Bittersweet Wintergreen Velvet,0.31,0.23,0.06,0.28
Billy Bonker's Tart Bitter Cashew Lollipops,0.11,0.94,0.78,0.88
Billy Bonker's Cool Dark Nut Wafers,0.38,0.09,0.99,0.39
Good Ivan's Honey Walnut Nonpariels,0.96,0.7,0.88,0.54
Nastly Tangy Cheese Peanut-Butter Lollipops,0.12,0.78,0.36,0.96
Hearsay Tangy Sinful Fruit Candy Sticks,0.83,0.97,0.27,0.97
Hearsay Sinful Almond Mints,1,0.67,0.91,0.48
Billy Bonker's Refreshingly Semisweet Fruit Chews,0.48,0.2,0.03,0.23
Billy Bonker's Tangy Salted Fruit Mints,0.09,0.93,0.05,0.37
Nastly Sinful Caramel Chews,0.93,0.51,0,0.09
Good Ivan's Semisweet Walnut Clusters,0.32,0.31,0.98,0.87
Good Ivan's Cheese Peanut-Butter Mints,0.06,0.48,0.66,0.51
Hearsay Tart Salted Peanut-Butter Velvet,0,0.91,0.46,0.26
Good Ivan's Dark Nugat-Filled Wafers,0.42,0.65,0.44,0.49
Billy Bonker's Tart Cheese Chocolate Coated Clusters,0.29,0.95,0.32,0.81
Hearsay Tangy Bitter Nugat-Filled Bar,0.08,0.83,0.65,0.39
Hearsay Cheese Chocolate Coated Velvet,0.2,0.44,0.69,0.1
Nastly Tart Dark Peanut-Butter Nonpariels,0.31,0.85,0.51,0.31
Good Ivan's Cool Indulgent Nugat-Filled Wafers,0.79,0.16,0.54,0.52
Nastly Refreshingly Bittersweet Chocolate Coated Fudge,0.31,0.05,0.68,0.17
Nastly Sinful Peanut-Butter Mints,0.96,0.68,0.69,0.43
Nastly Indulgent Chocolate Lollipops,0.78,0.6,0.01,0.87
Good Ivan's Tart Cheese Spearmint Fudge,0.22,0.74,0.2,0.16
Good Ivan's Refreshingly Indulgent Nugat-Filled Mints,0.97,0.14,0.34,0.53
Billy Bonker's Luxurious Honey Peanut-Butter Velvet,0.94,0.19,0.44,0.06
Billy Bonker's Sour Dark Fruit Wafers,0.63,0.94,0.04,0.47
Good Ivan's Tangy Dark Nugat-Filled Clusters,0.54,1,0.57,0.84
Hearsay Salted Spearmint Candy Sticks,0.03,0.6,0.07,0.97
Hearsay Honey Chocolate Coated Fudge,0.92,0.62,0.64,0.12
Hearsay Sour Cheese Chocolate Coated Chews,0.12,0.85,0.53,0.16
Hearsay Luxurious Semisweet Cashew Velvet,0.4,0.04,0.8,0.27
Billy Bonker's Sour Semisweet Chocolate Mints,0.39,0.74,0.09,0.36
Good Ivan's Cool Bittersweet Chocolate Coated Mints,0.35,0.07,0.61,0.46
Billy Bonker's Indulgent Nugat-Filled Fudge,0.89,0.42,0.6,0.15
Billy Bonker's Refreshingly Indulgent Spearmint Nonpariels,0.84,0.26,0.17,0.31
Nastly Dark Nut Wafers,0.3,0.55,0.74,0.38
Billy Bonker's Dark Nugat-Filled Fudge,0.5,0.68,0.44,0.11
Billy Bonker's Sour Indulgent Almond Lollipops,0.94,0.74,0.8,0.94
Nastly Luxurious Cheese Spearmint Jawbreakers,0.23,0.24,0.22,0.77
Hearsay Refreshingly Semisweet Walnut Chews,0.65,0.09,0.94,0.04
Hearsay Luxurious Salted Peanut Nonpariels,0.12,0.23,0.85,0.34
Good Ivan's Tangy Honey Wintergreen Fudge,0.94,0.87,0.04,0.2
Nastly Tangy Dark Peanut Wafers,0.42,0.99,0.83,0.49
Billy Bonker's Honey Peanut Bar,0.82,0.69,0.77,0.4
Nastly Cool Semisweet Peanut-Butter Bar,0.58,0.28,0.38,0.43
Good Ivan's Tart Honey Wintergreen Candy Sticks,0.99,0.84,0.01,0.86
Good Ivan's Refreshingly Cheese Caramel Fudge,0.22,0.15,0.21,0.05
Nastly Tart Sinful Peanut-Butter Chews,0.9,0.81,0.62,0
Hearsay Cool Semisweet Almond Lollipops,0.65,0.23,0.98,0.85
Hearsay Semisweet Wintergreen Bar,0.34,0.48,0.24,0.61
Hearsay Bitter Wintergreen Bar,0.06,0.67,0.23,0.54
Nastly Dark Peanut-Butter Jawbreakers,0.55,0.32,0.45,0.76
Billy Bonker's Honey Nugat-Filled Velvet,0.99,0.67,0.3,0.03
Nastly Sour Bittersweet Spearmint Nonpariels,0.49,0.92,0.04,0.4
Hearsay Refreshingly Sinful Nugat-Filled Wafers,0.93,0.21,0.69,0.34
Nastly Bittersweet Fruit Velvet,0.69,0.3,0.16,0.22
Good Ivan's Sinful Nut Lollipops,0.97,0.57,0.86,0.88
Nastly Honey Peanut-Butter Clusters,1,0.33,0.66,0.92
Billy Bonker's Refreshingly Dark Almond Lollipops,0.61,0.16,0.75,0.86
Billy Bonker's Sour Dark Nugat-Filled Mints,0.5,0.8,0.33,0.39
Billy Bonker's Sour Dark Nugat-Filled Clusters,0.54,0.75,0.68,0.91
Nastly Honey Cashew Wafers,0.78,0.63,0.74,0.5
Good Ivan's Honey Nugat-Filled Chews,0.95,0.47,0.47,0.14
Good Ivan's Cheese Peanut-Butter Candy Sticks,0.23,0.49,0.65,0.95
Billy Bonker's Honey Walnut Bar,0.74,0.43,0.73,0.38
Good Ivan's Tangy Honey Nugat-Filled Mints,0.74,0.95,0.59,0.34
Hearsay Semisweet Almond Nonpariels,0.56,0.4,0.85,0.44
Good Ivan's Tangy Semisweet Chocolate Coated Mints,0.57,0.89,0.4,0.45
Nastly Tart Bittersweet Caramel Bar,0.36,0.96,0.08,0.68
Billy Bonker's Luxurious Honey Walnut Fudge,0.75,0.07,0.98,0.24
Nastly Luxurious Dark Almond Jawbreakers,0.51,0.18,0.78,0.93
Good Ivan's Refreshingly Bittersweet Walnut Wafers,0.51,0.2,0.97,0.7
Nastly Dark Spearmint Mints,0.32,0.67,0.29,0.46
Hearsay Sour Salted Fruit Fudge,0.25,0.76,0.21,0.06
Hearsay Refreshingly Bitter Chocolate Coated Jawbreakers,0.05,0.08,0.44,0.9
Hearsay Tart Sinful Wintergreen Candy Sticks,0.93,0.8,0.01,0.84
Good Ivan's Tart Bittersweet Caramel Nonpariels,0.3,0.71,0.03,0.39
Hearsay Sour Sinful Walnut Bar,0.9,0.91,0.96,0.45
Good Ivan's Cheese Peanut-Butter Jawbreakers,0.24,0.39,0.36,0.91
Nastly Cool Honey Fruit Velvet,0.79,0.24,0.23,0.19
Hearsay Salted Nugat-Filled Candy Sticks,0.17,0.58,0.65,0.89
Hearsay Bittersweet Wintergreen Clusters,0.54,0.53,0.12,0.88
Nastly Honey Chocolate Coated Nonpariels,0.76,0.3,0.66,0.64
Nastly Cool Bittersweet Walnut Lollipops,0.35,0.13,0.88,0.78
Nastly Honey Chocolate Coated Wafers,0.95,0.67,0.51,0.51
Hearsay Tangy Honey Chocolate Candy Sticks,0.86,0.85,0.21,0.76
Good Ivan's Sour Sinful Peanut Mints,0.77,0.91,0.86,0.34
Billy Bonker's Indulgent Chocolate Fudge,0.83,0.52,0.04,0.03
Hearsay Sinful Fruit Velvet,0.8,0.52,0.22,0.21
Good Ivan's Bittersweet Caramel Nonpariels,0.62,0.67,0.16,0.62
Nastly Semisweet Almond Chews,0.34,0.61,0.72,0.03
Hearsay Honey Wintergreen Lollipops,0.72,0.63,0.11,0.87
Hearsay Sour Semisweet Peanut-Butter Chews,0.38,0.85,0.6,0.17
Hearsay Luxurious Dark Nut Mints,0.59,0.14,0.73,0.68
Good Ivan's Cool Dark Caramel Lollipops,0.34,0.19,0.03,0.87
Hearsay Refreshingly Salted Spearmint Mints,0.25,0.03,0.28,0.37
Hearsay Tart Dark Walnut Wafers,0.51,0.99,0.99,0.68
Billy Bonker's Dark Caramel Chews,0.58,0.46,0.25,0.27
Good Ivan's Indulgent Peanut-Butter Velvet,0.95,0.31,0.31,0.08
Good Ivan's Cool Bitter Almond Velvet,0.15,0.13,0.99,0.04
Billy Bonker's Refreshingly Indulgent Spearmint Mints,0.76,0.17,0,0.61
Hearsay Cool Bittersweet Peanut-Butter Chews,0.44,0.03,0.55,0.08
Nastly Cool Honey Peanut-Butter Chews,0.84,0.15,0.33,0.24
Nastly Tangy Semisweet Wintergreen Mints,0.47,0.97,0.21,0.47
Billy Bonker's Refreshingly Bittersweet Peanut-Butter Bar,0.35,0.25,0.6,0.68
Hearsay Cool Honey Peanut-Butter Nonpariels,0.89,0.28,0.6,0.43
Good Ivan's Sinful Cashew Nonpariels,0.98,0.68,0.99,0.47
Good Ivan's Refreshingly Cheese Chocolate Coated Velvet,0.11,0.03,0.67,0.12
Billy Bonker's Luxurious Honey Peanut Chews,0.78,0.1,0.98,0.21
Hearsay Luxurious Semisweet Cashew Clusters,0.42,0.15,0.8,0.93
Hearsay Cool Honey Nugat-Filled Wafers,0.97,0.02,0.67,0.31
Good Ivan's Cool Semisweet Peanut-Butter Jawbreakers,0.4,0.03,0.69,0.9
Hearsay Luxurious Bittersweet Peanut-Butter Clusters,0.5,0.19,0.63,0.98
Billy Bonker's Tart Salted Nugat-Filled Velvet,0.23,0.99,0.37,0.18
Hearsay Tangy Cheese Peanut-Butter Nonpariels,0.18,0.95,0.67,0.35
Billy Bonker's Refreshingly Sinful Nugat-Filled Velvet,0.71,0.02,0.64,0.26
Hearsay Tart Indulgent Peanut-Butter Nonpariels,0.95,0.84,0.64,0.66
Hearsay Bitter Nut Lollipops,0.07,0.42,0.8,0.89
Good Ivan's Tart Bittersweet Nugat-Filled Chews,0.5,0.71,0.62,0.27
Hearsay Refreshingly Salted Chocolate Coated Nonpariels,0.28,0.27,0.34,0.33
Good Ivan's Cheese Fruit Wafers,0.22,0.6,0.13,0.37
Billy Bonker's Sour Semisweet Peanut-Butter Bar,0.38,0.83,0.39,0.39
Nastly Refreshingly Salted Peanut-Butter Nonpariels,0.08,0.07,0.33,0.63
Nastly Luxurious Bittersweet Almond Chews,0.64,0.15,0.71,0.02
Hearsay Cool Honey Nugat-Filled Bar,0.91,0.01,0.56,0.46
Good Ivan's Refreshingly Indulgent Almond Velvet,0.9,0.02,0.95,0.1
Hearsay Tart Dark Chocolate Coated Fudge,0.6,0.79,0.47,0.11
Good Ivan's Tangy Cheese Nugat-Filled Lollipops,0.26,0.9,0.69,0.75
Good Ivan's Sour Sinful Peanut Lollipops,0.9,0.93,0.73,0.93
Good Ivan's Tangy Semisweet Chocolate Fudge,0.33,0.78,0.18,0.16
Nastly Semisweet Chocolate Coated Jawbreakers,0.63,0.35,0.35,0.81
Billy Bonker's Luxurious Cheese Peanut-Butter Lollipops,0.07,0.17,0.59,0.96
Billy Bonker's Salted Cashew Clusters,0.17,0.62,0.82,0.89
Hearsay Dark Wintergreen Clusters,0.62,0.39,0.25,0.95
Billy Bonker's Luxurious Semisweet Cashew Lollipops,0.39,0.29,0.97,0.79
Hearsay Tangy Cheese Nugat-Filled Lollipops,0.07,0.81,0.48,0.72
Nastly Cool Dark Chocolate Coated Clusters,0.57,0.18,0.5,0.81
Good Ivan's Tart Semisweet Caramel Nonpariels,0.64,0.73,0.11,0.47
Billy Bonker's Sour Honey Nut Fudge,0.99,0.95,0.88,0.27
Hearsay Luxurious Bittersweet Nut Fudge,0.58,0.18,0.83,0.18
Good Ivan's Refreshingly Bittersweet Spearmint Mints,0.69,0.29,0.26,0.55
Hearsay Sour Bittersweet Chocolate Coated Chews,0.67,0.97,0.41,0.12
Good Ivan's Sour Semisweet Nugat-Filled Nonpariels,0.48,0.79,0.44,0.46
Hearsay Dark Cashew Lollipops,0.54,0.38,0.88,0.83
Nastly Luxurious Semisweet Walnut Chews,0.5,0.12,0.83,0.07
Good Ivan's Sinful Chocolate Coated Mints,0.78,0.33,0.59,0.47
Billy Bonker's Sour Dark Nugat-Filled Lollipops,0.49,0.98,0.52,0.77
Hearsay Refreshingly Honey Nugat-Filled Bar,0.87,0.17,0.43,0.45
Good Ivan's Cool Dark Nugat-Filled Mints,0.43,0.22,0.36,0.43
Hearsay Refreshingly Indulgent Chocolate Coated Wafers,0.96,0.05,0.62,0.62
Good Ivan's Refreshingly Sinful Fruit Lollipops,0.92,0.09,0.17,0.9
Billy Bonker's Cool Dark Peanut Jawbreakers,0.37,0.26,0.92,0.99
Billy Bonker's Tart Indulgent Chocolate Candy Sticks,0.97,0.87,0.19,0.99
Billy Bonker's Honey Spearmint Fudge,0.88,0.5,0.28,0.1
Nastly Luxurious Sinful Nugat-Filled Nonpariels,0.85,0.16,0.36,0.35
Billy Bonker's Honey Fruit Lollipops,0.88,0.65,0.21,0.81
Good Ivan's Honey Chocolate Coated Fudge,0.82,0.58,0.55,0.18
Nastly Tangy Semisweet Nugat-Filled Fudge,0.53,0.89,0.36,0.11
Billy Bonker's Tart Dark Peanut-Butter Chews,0.36,0.76,0.62,0.11
Nastly Sour Dark Nugat-Filled Candy Sticks,0.67,0.76,0.69,0.9
Nastly Luxurious Indulgent Peanut-Butter Mints,0.98,0.13,0.69,0.49
Billy Bonker's Cool Dark Walnut Chews,0.38,0.27,0.81,0.25
Nastly Cheese Peanut-Butter Lollipops,0.18,0.65,0.67,0.73
Hearsay Tart Cheese Chocolate Coated Nonpariels,0.08,0.71,0.39,0.3
Hearsay Bitter Chocolate Coated Chews,0.01,0.65,0.35,0.21
Billy Bonker's Luxurious Honey Nugat-Filled Nonpariels,0.8,0.15,0.43,0.31
Hearsay Indulgent Fruit Bar,0.85,0.6,0.05,0.55
Hearsay Cool Indulgent Peanut-Butter Nonpariels,0.72,0.15,0.44,0.53
Nastly Sinful Chocolate Chews,0.75,0.59,0.19,0.17
Billy Bonker's Sinful Chocolate Coated Velvet,0.91,0.5,0.3,0.04
Billy Bonker's Indulgent Wintergreen Velvet,0.99,0.65,0.08,0.13
Hearsay Tart Dark Peanut-Butter Wafers,0.65,0.85,0.69,0.48
Billy Bonker's Tart Honey Cashew Wafers,0.86,0.87,0.99,0.65
Nastly Honey Wintergreen Chews,0.85,0.43,0.07,0.28
Nastly Sour Bittersweet Wintergreen Bar,0.42,0.96,0.28,0.43
Good Ivan's Tangy Honey Walnut Mints,0.73,0.89,0.8,0.43
Good Ivan's Cool Bittersweet Cashew Jawbreakers,0.63,0.25,1,0.92
Good Ivan's Cool Salted Nugat-Filled Clusters,0.12,0.25,0.52,0.94
Hearsay Tart Dark Cashew Wafers,0.67,0.83,0.78,0.42
Billy Bonker's Sinful Fruit Nonpariels,0.73,0.63,0.08,0.68
Good Ivan's Sour Sinful Wintergreen Velvet,0.95,0.75,0.26,0.14
Nastly Bitter Chocolate Nonpariels,0.03,0.65,0.01,0.45
Nastly Luxurious Semisweet Cashew Velvet,0.45,0,0.91,0.06
Billy Bonker's Sour Semisweet Fruit Nonpariels,0.69,0.75,0.13,0.55
Hearsay Refreshingly Sinful Nugat-Filled Mints,0.72,0.29,0.47,0.31
Hearsay Luxurious Bittersweet Nut Clusters,0.58,0.13,0.98,1
Billy Bonker's Honey Caramel Fudge,0.87,0.49,0.25,0.03
Nastly Refreshingly Bittersweet Chocolate Coated Clusters,0.68,0.23,0.68,0.96
Good Ivan's Indulgent Nugat-Filled Fudge,0.97,0.7,0.63,0.08
Nastly Luxurious Bittersweet Peanut Clusters,0.61,0.06,0.83,0.99
Nastly Tangy Sinful Peanut-Butter Candy Sticks,0.95,0.78,0.38,0.86
Hearsay Semisweet Almond Wafers,0.63,0.69,0.77,0.43
Good Ivan's Sinful Wintergreen Fudge,0.94,0.39,0.04,0.04
Hearsay Luxurious Bitter Wintergreen Velvet,0.02,0.05,0.15,0.17
Good Ivan's Tart Sinful Spearmint Candy Sticks,0.92,0.73,0.13,0.9
Billy Bonker's Semisweet Peanut-Butter Wafers,0.51,0.58,0.65,0.38
Hearsay Tart Bitter Chocolate Coated Fudge,0.09,1,0.67,0.05
Hearsay Luxurious Dark Almond Fudge,0.56,0.09,0.84,0.17
Nastly Tart Indulgent Spearmint Wafers,0.94,1,0.2,0.68
Nastly Tangy Indulgent Chocolate Coated Bar,0.91,0.88,0.31,0.38
Billy Bonker's Tangy Salted Caramel Clusters,0.18,0.8,0.06,0.92
Billy Bonker's Refreshingly Honey Caramel Bar,0.72,0.03,0.19,0.66
Good Ivan's Tangy Salted Peanut-Butter Velvet,0.19,0.74,0.59,0.16
Hearsay Semisweet Walnut Candy Sticks,0.35,0.44,0.91,0.86
Hearsay Tart Indulgent Caramel Clusters,0.84,0.75,0.28,0.86
Good Ivan's Tart Salted Chocolate Coated Wafers,0.18,0.96,0.52,0.52
Good Ivan's Sour Semisweet Wintergreen Wafers,0.38,0.71,0.28,0.35
Billy Bonker's Luxurious Salted Spearmint Clusters,0.23,0.03,0.04,0.76
Nastly Semisweet Chocolate Coated Mints,0.65,0.7,0.67,0.66
Hearsay Sour Salted Chocolate Coated Velvet,0.08,0.98,0.38,0.14
Nastly Honey Nugat-Filled Nonpariels,0.97,0.31,0.63,0.34
Good Ivan's Cheese Nut Nonpariels,0.23,0.52,0.74,0.61
Billy Bonker's Cool Indulgent Chocolate Coated Jawbreakers,0.8,0.01,0.39,0.74
Good Ivan's Tangy Indulgent Nugat-Filled Fudge,0.78,0.93,0.66,0.12
Hearsay Honey Peanut Mints,0.83,0.67,0.95,0.65
Billy Bonker's Refreshingly Semisweet Nut Bar,0.48,0.09,0.74,0.6
Good Ivan's Bittersweet Chocolate Coated Bar,0.64,0.34,0.49,0.52
Nastly Dark Fruit Candy Sticks,0.64,0.7,0.24,0.89
Good Ivan's Semisweet Nut Candy Sticks,0.49,0.65,0.76,0.96
Billy Bonker's Tangy Dark Nugat-Filled Nonpariels,0.32,0.98,0.38,0.4
Nastly Cheese Chocolate Coated Bar,0.04,0.58,0.51,0.66
Billy Bonker's Tangy Semisweet Wintergreen Mints,0.5,0.99,0.11,0.37
Billy Bonker's Dark Nugat-Filled Velvet,0.64,0.69,0.69,0.27
Billy Bonker's Sour Dark Chocolate Coated Chews,0.36,0.94,0.31,0
Good Ivan's Tangy Sinful Nugat-Filled Bar,0.87,0.82,0.65,0.37
Good Ivan's Honey Fruit Jawbreakers,0.81,0.41,0.04,0.71
Billy Bonker's Honey Spearmint Bar,0.79,0.34,0.02,0.38
Billy Bonker's Tart Semisweet Wintergreen Mints,0.61,0.72,0.07,0.48
Nastly Tangy Bittersweet Nugat-Filled Lollipops,0.59,0.86,0.34,0.92
Hearsay Honey Nugat-Filled Bar,0.75,0.39,0.43,0.53
Hearsay Dark Cashew Jawbreakers,0.52,0.37,0.77,0.74
Nastly Sour Semisweet Fruit Velvet,0.61,0.91,0.19,0.07
Billy Bonker's Tangy Honey Fruit Mints,0.77,0.83,0.05,0.63
Hearsay Semisweet Caramel Nonpariels,0.53,0.67,0.2,0.66
Billy Bonker's Luxurious Cheese Spearmint Bar,0.17,0.15,0.24,0.48
Good Ivan's Dark Almond Lollipops,0.38,0.54,0.82,0.79
Good Ivan's Refreshingly Dark Peanut Mints,0.62,0,0.92,0.39
Hearsay Tangy Semisweet Fruit Fudge,0.36,0.73,0.11,0.17
Nastly Tart Bitter Peanut-Butter Bar,0.14,0.87,0.64,0.38
Hearsay Bitter Peanut Chews,0.29,0.35,0.82,0.27
Good Ivan's Luxurious Dark Walnut Lollipops,0.31,0.26,0.9,0.96
Good Ivan's Cool Dark Nut Lollipops,0.38,0.08,0.96,0.8
Billy Bonker's Cool Cheese Chocolate Coated Mints,0.22,0.06,0.44,0.46
Good Ivan's Sinful Chocolate Coated Clusters,0.74,0.42,0.46,0.85
Good Ivan's Sour Sinful Spearmint Bar,0.92,0.89,0.24,0.7
Billy Bonker's Tart Semisweet Chocolate Coated Wafers,0.56,0.96,0.69,0.51
Billy Bonker's Cool Salted Nugat-Filled Wafers,0.15,0.08,0.48,0.57
Nastly Cheese Nugat-Filled Nonpariels,0.07,0.41,0.35,0.39
Good Ivan's Luxurious Semisweet Nut Velvet,0.31,0.11,0.86,0.04
Billy Bonker's Sour Sinful Chocolate Clusters,0.88,0.86,0.09,0.87
Good Ivan's Semisweet Caramel Bar,0.67,0.5,0.03,0.38
Nastly Sour Sinful Fruit Fudge,0.78,0.72,0,0.06
Nastly Cool Bittersweet Cashew Lollipops,0.6,0.07,0.77,0.99
Hearsay Refreshingly Sinful Peanut Mints,0.82,0.24,0.73,0.53
Good Ivan's Honey Chocolate Nonpariels,0.91,0.44,0.06,0.36
Billy Bonker's Tart Salted Peanut-Butter Fudge,0.05,1,0.47,0.14
Hearsay Tangy Bitter Chocolate Coated Chews,0.26,0.88,0.67,0.22
Good Ivan's Bittersweet Walnut Lollipops,0.67,0.46,0.9,0.9
Hearsay Tangy Indulgent Chocolate Candy Sticks,0.85,0.8,0.04,0.97
Good Ivan's Tangy Bittersweet Cashew Bar,0.61,0.92,0.8,0.36
Good Ivan's Tangy Bitter Chocolate Coated Chews,0.03,0.8,0.36,0.01
Good Ivan's Dark Nugat-Filled Clusters,0.53,0.31,0.69,0.72
Nastly Tangy Salted Chocolate Coated Fudge,0.09,0.72,0.58,0.13
Nastly Cheese Chocolate Coated Wafers,0.2,0.51,0.61,0.61
Billy Bonker's Refreshingly Indulgent Nugat-Filled Fudge,0.93,0.28,0.52,0.06
Nastly Tangy Honey Walnut Wafers,0.98,0.93,0.98,0.31
Billy Bonker's Refreshingly Bittersweet Peanut-Butter Velvet,0.57,0.27,0.64,0.28
Good Ivan's Sour Salted Almond Chews,0.09,0.73,0.95,0.03
Good Ivan's Dark Peanut-Butter Clusters,0.61,0.7,0.46,0.94
Billy Bonker's Bitter Peanut-Butter Velvet,0.1,0.7,0.65,0.03
Nastly Bittersweet Wintergreen Velvet,0.45,0.47,0.01,0.22
Nastly Tangy Indulgent Fruit Clusters,0.76,0.98,0.11,0.98
Good Ivan's Semisweet Spearmint Fudge,0.54,0.64,0.1,0.28
Nastly Dark Caramel Bar,0.31,0.35,0.24,0.69
Nastly Tart Honey Walnut Nonpariels,0.72,0.88,0.71,0.5
Billy Bonker's Cool Semisweet Fruit Fudge,0.62,0.04,0.2,0.23
Good Ivan's Tart Sinful Spearmint Jawbreakers,0.91,0.98,0.15,0.81
Billy Bonker's Dark Cashew Wafers,0.37,0.56,0.9,0.62
Hearsay Bitter Peanut Mints,0.02,0.33,0.73,0.67
Hearsay Tart Semisweet Chocolate Nonpariels,0.69,0.83,0.17,0.37
Nastly Honey Chocolate Coated Fudge,0.77,0.38,0.33,0
Good Ivan's Semisweet Spearmint Mints,0.39,0.34,0.03,0.7
Good Ivan's Refreshingly Bittersweet Nugat-Filled Clusters,0.3,0.12,0.68,0.86
Hearsay Indulgent Fruit Jawbreakers,1,0.31,0.17,0.8
Nastly Bittersweet Cashew Jawbreakers,0.49,0.31,0.79,0.8
Good Ivan's Dark Chocolate Lollipops,0.6,0.32,0.28,0.82
Hearsay Cool Honey Peanut-Butter Wafers,0.89,0.07,0.49,0.4
